County,Year,Health care costs
Robeson County,1/1/2014,10712.0
Robeson County,1/1/2015,10613.0
Rockingham County,1/1/2014,8623.0
Rockingham County,1/1/2015,9311.0
Rowan County,1/1/2014,9239.0
Rowan County,1/1/2015,8827.0
Rutherford County,1/1/2014,8656.0
Rutherford County,1/1/2015,8757.0
Sampson County,1/1/2014,9716.0
Sampson County,1/1/2015,9899.0
Scotland County,1/1/2014,9615.0
Scotland County,1/1/2015,9441.0
Stanly County,1/1/2014,9575.0
Stanly County,1/1/2015,9344.0
Stokes County,1/1/2014,10323.0
Stokes County,1/1/2015,10006.0
Surry County,1/1/2014,10454.0
Surry County,1/1/2015,10501.0
Swain County,1/1/2014,8727.0
Swain County,1/1/2015,8444.0
Transylvania County,1/1/2014,7499.0
Transylvania County,1/1/2015,7387.0
Tyrrell County,1/1/2014,7338.0
Tyrrell County,1/1/2015,8344.0
Union County,1/1/2014,9304.0
Union County,1/1/2015,9099.0
Vance County,1/1/2014,8242.0
Vance County,1/1/2015,8415.0
Wake County,1/1/2014,8748.0
Wake County,1/1/2015,8816.0
Warren County,1/1/2014,7710.0
Warren County,1/1/2015,7925.0
Washington County,1/1/2014,8741.0
Washington County,1/1/2015,8894.0
Watauga County,1/1/2014,9357.0
Watauga County,1/1/2015,9055.0
Wayne County,1/1/2014,9037.0
Wayne County,1/1/2015,9059.0
Wilkes County,1/1/2014,9842.0
Wilkes County,1/1/2015,10085.0
Wilson County,1/1/2014,9251.0
Wilson County,1/1/2015,9450.0
Yadkin County,1/1/2014,10084.0
Yadkin County,1/1/2015,10998.0
Yancey County,1/1/2014,7707.0
Yancey County,1/1/2015,7870.0
